tau,thr,entry,n_cand,fill_rate,n_fill,win_uncond,win_fill,ev_maker,ev_taker,ev_maker0
45,100,0.95,876,0.00228310502283105,2,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
45,100,0.97,876,0.003424657534246575,3,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
45,100,0.98,876,0.005707762557077625,5,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
45,100,0.99,876,0.02968036529680365,26,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
45,150,0.9,497,0.0,0,1.0,,,,
45,150,0.93,497,0.0,0,1.0,,,,
45,150,0.95,497,0.0,0,1.0,,,,
45,150,0.97,497,0.002012072434607646,1,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
45,150,0.98,497,0.004024144869215292,2,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
45,150,0.99,497,0.014084507042253521,7,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
30,50,0.9,1536,0.0013020833333333333,2,0.9993489583333334,0.5,-0.41000000000000003,-0.41000000000000003,-0.4
30,50,0.93,1536,0.0013020833333333333,2,0.9993489583333334,0.5,-0.44000000000000006,-0.44000000000000006,-0.43000000000000005
30,50,0.95,1536,0.0032552083333333335,5,0.9993489583333334,0.8,-0.15999999999999992,-0.15999999999999992,-0.1499999999999999
30,50,0.97,1536,0.005859375,9,0.9993489583333334,0.8888888888888888,-0.09111111111111113,-0.09111111111111113,-0.08111111111111113
30,50,0.98,1536,0.009114583333333334,14,0.9993489583333334,0.9285714285714286,-0.06142857142857138,-0.06142857142857138,-0.05142857142857138
30,50,0.99,1536,0.035807291666666664,55,0.9993489583333334,0.9818181818181818,-0.01818181818181818,-0.01818181818181818,-0.008181818181818179
30,75,0.9,1138,0.0,0,1.0,,,,
30,75,0.93,1138,0.0,0,1.0,,,,
30,75,0.95,1138,0.0008787346221441124,1,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
30,75,0.97,1138,0.0017574692442882249,2,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
30,75,0.98,1138,0.0035149384885764497,4,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
30,75,0.99,1138,0.0210896309314587,24,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
30,100,0.9,873,0.0,0,1.0,,,,
30,100,0.93,873,0.0,0,1.0,,,,
30,100,0.95,873,0.001145475372279496,1,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
30,100,0.97,873,0.001145475372279496,1,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
30,100,0.98,873,0.002290950744558992,2,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
30,100,0.99,873,0.020618556701030927,18,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
30,150,0.9,503,0.0,0,1.0,,,,
30,150,0.93,503,0.0,0,1.0,,,,
30,150,0.95,503,0.0019880715705765406,1,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
30,150,0.97,503,0.0019880715705765406,1,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
30,150,0.98,503,0.003976143141153081,2,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
30,150,0.99,503,0.011928429423459244,6,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
